City,Price
Seattle,105
Salt Lake City,105
Atlanta,105
Fort Lauderdale,99
Aspen,174
Durham,105
Baltimore,105
Fort Collins/Larimer County,105
"Washington, D.C.",116
Park City,105
Inland Empire,99
"Orange County, CA",99
Tampa Bay Area,105
Minneapolis,111
Santa Barbara County,99
Columbus,111
Greater Los Angeles,99
Houston,105
Lake Tahoe,105
Charleston,105
Boston,116
Las Vegas,99
Orlando,105
Detroit,105
Vail / Ski Country,99
"Wilmington, NC",105
Dallas / Fort Worth,105
Colorado Springs,105
Greensboro and Winston-Salem,105
Charlotte,105
Philadelphia,104
Jacksonville,105
New Orleans,105
Austin,105
Sacramento,105
Palm Springs,99
San Francisco Bay Area,99
Cape Cod,116
Albuquerque,105
Portland,105
Phoenix,105
Palm Beach County,99
Monterey Bay,99
San Diego,99
St. Louis Metro,105
San Antonio,105
NYC Tri-State,99
Pittsburgh,105
Miami,99
Chicago,116
Denver,99
Kansas City Metro,105
